code	english	definition	translation
12511	aggregate extraction	"Extraction of crushed rock or gravel screened to sizes for use in road surfaces, concretes, or bituminous mixes."	çınqıl və digər doldurucuların hasilatı
12514	mechanical industry	"A sector of the economy in which an aggregate of enterprises is engaged in the design, manufacture and marketing of mechanical apparatuses for commercial or industrial usage."	mexaniki cihazların istehsalı
12525	timber producing chain	"All interrelated steps of the lumber manufacturing process including tree felling, the removal of tops, branches and bark, the piling and sawing of logs, and the transportation and loading of finished boards or other products."	ağac materiallarının kompleks istehsalı
12528	packing industry	No definition needed.	qablaşdırma üçün avadanlıqlar və materiallar
12576	biofiltration	"The distribution of settled sewage on a bed of inert granular material through which it is allowed to percolate. In doing so, the effluent is aerated thus allowing aerobic bacteria and fungi to reduce its biochemical oxygen demand."	biofiltrasiya
12583	dechlorination	Removal of chlorine from a substance.	dexlorasiya
12586	engineering	"The science by which the properties of matter and the sources of power in nature are made useful to humans in structures, machines, and products."	"injinirinq, mühəndislik"
12587	methanisation	"The process of deriving methane from any source, including livestock manure, landfills, coal mines, etc."	metan alınması
12599	aerobic treatment	The introduction of air into sewage so as to provide aerobic biochemical stabilization during a detention period.	aerob emal
12600	anaerobic treatment	"Breakdown of organic material without the presence of oxygen, a treatment which permanently removes the unpleasant odour of many organic wastes so that they can be used on agricultural land."	anaerob emal
1198	ecological carrying capacity	"1) The maximum number of species an area can support during the harshest part of the year, or the maximum biomass it can support indefinitely. 2) The maximum number of grazing animals an area can support without deterioration."	ekoloji daşıma qabiliyyəti
1199	carry-over effect	Effect caused by the successive passages of polluting substances through the different organisms of a food chain.	daşıma effekti
1200	cartography	The making of maps and charts for the purpose of visualizing spatial distributions over various areas of the earth.	kartoqrafiya
1201	car tyre	"A rubber ring placed over the rim of a wheel of a road vehicle to provide traction and reduce road shocks, especially a hollow inflated ring consisting of a reinforced outer casing enclosing an inner tube."	avtomobil şini
1203	cash crop	"Crops that are grown for sale in the town markets or for export. They include coffee, cocoa, sugar, vegetables, peanuts and non-foods, like tobacco and cotton. Huge areas of countries in the developing world have been turned over to cash crops. Those countries with no mineral or oil resources depend on cash crops for foreign money, so that they can import materials do develop roads, for construction, or to buy Western consumer goods and, indeed, food. However, critics argue that cash crops are planted on land that would otherwise be used to grow food for the local community and say this is a cause of world famine. Cash crops, such as peanuts, can ruin the land if it is not left fallow after six years of harvests. Moreover, if the best agricultural land is used for cash crops, local farmers are forced to use marginal land to grow food for local consumption, and this has a further dramatic effect on the environment."	əmtəə xarakterli kənd təsərrüfatı bitkisi
1209	catalysis	A phenomenon in which a relatively small amount of substance augments the rate of a chemical reaction without itself being consumed.	kataliz
1210	catalyst	"A substance whose presence alters the rate at which a chemical reaction proceeds, but whose own composition remains unchanged by the reaction. Catalysts are usually employed to accelerate reactions(positive catalyst), but retarding (negative) catalysts are also used."	katalizator
1212	catalytic converter	"Catalytic converters are designed to clean up the exhaust fumes from petrol-driven vehicles, which are otherwise the major threat to air quality standards in congested urban streets and on motorways. Converters remove carbon monoxide, the unburned hydrocarbons and the oxides of nitrogen. These compounds are damaging to human health and the environment in a variety of ways. The converter is attached to the vehicle' s exhaust near the engine. Exhaust gases pass through the cellular ceramic substrate, a honeycomb-like filter. While compact, the intricate honeycomb structure provides a surface area of 23.000 square metres. This is coated with a thin layer of platinum, palladium and rhodium metals, which act as catalysts that simulate a reaction to changes in the chemical composition of the gases. Platinum and palladium convert hydrocarbons and carbon monoxide into carbon dioxide and water vapour. Rhodium changes nitrogen oxides and hydrocarbons into nitrogen and water, which are harmless."	katalitik konverter
