code	 English terms	English definitions	Arabic translated terms 	Arabic translated definitions 				
7574	seepage water	Water that moves slowly through small openings of a porous material such as soil or the amount of water that has been involved in seepage.	ماء الانسياب	"ماء يتحرك ببطء عبر الفتحات الدقيقية في مادة مسامية كالتربة، أو كمية الماء المنساب."				
7575	seismic activity	The phenomenon of Earth movements.	نشاط زلزالي	ظاهرة حركات الأرض.				
7578	seismic monitoring	The gathering of seismic data from an area.	مراقبة الأنشطة الزلزالية	جمع المعلومات المتعلقة بنشاط الزلازل في منطقة ما.				
7579	seismic sea wave	"A large seismically generated sea wave which is capable of considerable destruction in certain coastal areas, especially where submarine earthquakes occur. Although in the open ocean the wave height may be less than one meter it steepens to hights of 15 metres or more on entering shallow coastal water. The wavelength in the open ocean is of the order of 100 to 150 km and the rate of travel of a seismic sea wave is between 640 and 960 km/h."	موجة تسونامي	"موجة بحرية ضخمة تكونت بسبب نشاط زلزالي لها قدرة تدميرية عالية في بعض المناطق الساحلية خاصة حيث تظهر الزلازل تحت قيعان البحار.وعلى الرغم من أن ارتفاع الموجة في المحيط المفتوح قد يكون أقل من متر واحد فإنها تتعاظم حتى يبلغ ارتفاعها 15 مترا أو أكثر عندما تدخل المياه الساحلية الضحلة. ويبلغ طول الموجة في المحيط المفتوح ما بين 100 و150 كيلومترا، كما تتراوح سرعة تحرك الموجة البحرية الزلزالية بين 640 و960 كم/ساعة."				
7581	seizure	"The official or legally authorized act of taking away possessions or property, often for a violation of law or to enforce a judgment imposed by a court of law."	مصادرة	"إجراء بتصريح رسمي أو قانوني لسحب الأملاك أو المقتنيات، وعادة ما يكون ذلك بسبب انتهاك للقانون أو تنفيذا لحكم صادر عن محكمة من المحاكم."				
7582	seizure of profits	"The official or legally authorized act of taking away monetary gain or surplus resulting from investments or property or from returns, proceeds or revenue in a business or business transaction."	مصادرة المكاسب (الأرباح)	إجراء بتصريح رسمي أو قانوني لسحب الفائض أو المكسب النقدي الناجم عن استثمارات أو أملاك أو النابع من عائدات أو حصيلة أو ريع عمل تجاري أو معاملة تجارية.				
7584	selection of technology	No definition needed.	انتقاء التكنولوجيا - اختيار التكنولوجيا	لا يحتاج إلى تعريف.				
7586	selective breeding of animals	Breeding of animals having desirable characters.	التربية الانتقائية للحيوانات	تربية حيوانات لها خصائص معينة مرغوبة.				
7588	selective breeding of plants	Breeding of plants having desirable characters.	التربية الانتقائية للنباتات	تربية نباتات لها خصائص معينة مرغوبة.				
7590	selenium	"A highly toxic, nonmetallic element; used in analytical chemistry, metallurgy, and photoelectric cells."	السيلينيوم	"عنصر لافلزي شديد السمية، يستخدم في الكيمياء التحليلية، وصناعات التعدين والخلايا الضوئية الكهربية."				
